machine_id,date,operating_hours_cumulative,daily_runtime_hours,temperature_C,vibration_mm_s,pressure_psi,rpm,current_A,failure_within_7_days,failure_event
1,2023-06-16,1786.6,6.17,62.99,2.887,100.81,1498.8,10.79,0,0
1,2023-06-17,1797.7,11.12,63.74,2.81,102.44,1508.1,10.92,0,0
1,2023-06-18,1806.0,8.26,63.68,3.172,103.14,1505.9,10.26,0,0
1,2023-06-19,1818.4,12.45,61.17,2.876,102.24,1504.7,11.13,0,0
1,2023-06-20,1826.2,7.74,63.18,3.05,101.81,1501.7,10.1,0,0
1,2023-06-21,1839.1,12.91,65.17,3.36,101.06,1513.0,11.01,0,0
1,2023-06-22,1848.9,9.87,65.53,3.364,101.48,1495.8,11.42,0,0
1,2023-06-23,1864.3,15.37,66.42,3.405,101.02,1480.6,11.13,0,0
1,2023-06-24,1871.7,7.38,69.08,3.701,100.94,1494.2,11.29,0,0
1,2023-06-25,1881.1,9.41,68.36,4.075,97.9,1493.5,11.72,0,0
1,2023-06-26,1888.2,7.13,71.1,4.147,98.73,1476.9,12.25,0,0
1,2023-06-27,1903.5,15.25,70.16,4.13,97.4,1474.3,11.79,0,0
1,2023-06-28,1918.3,14.77,75.36,4.594,,1469.2,11.82,0,0
1,2023-06-29,1926.8,8.58,73.49,4.814,96.55,1467.1,12.1,0,0
1,2023-06-30,1939.4,12.6,74.49,4.84,95.87,1474.3,11.94,0,0
1,2023-07-01,1953.6,14.17,77.06,5.179,95.31,1460.1,12.85,0,0
1,2023-07-02,1965.2,11.55,76.61,5.318,93.04,1463.3,12.61,0,0
1,2023-07-03,1976.5,11.3,79.59,5.446,92.66,1444.4,12.88,1,0
1,2023-07-04,1984.9,8.42,79.61,5.476,94.21,1444.7,13.39,1,0
1,2023-07-05,1991.8,6.93,80.23,6.026,91.82,1450.9,13.19,1,0
1,2023-07-06,2006.8,14.97,81.23,6.172,91.66,1432.4,13.7,1,0
1,2023-07-07,2021.8,15.0,83.77,6.34,91.73,1442.5,13.34,1,0
1,2023-07-08,2034.1,12.33,83.9,6.679,90.45,1424.9,14.12,1,0
1,2023-07-09,2043.5,9.39,,6.783,89.85,1423.0,14.11,1,0
1,2023-07-10,2053.0,9.49,86.42,6.938,89.51,1434.5,14.16,0,1
1,2023-07-11,2066.3,13.26,63.88,2.619,100.2,1506.4,10.66,0,0
1,2023-07-12,2081.2,14.97,64.27,3.13,101.83,1511.0,10.24,0,0
1,2023-07-13,2096.1,14.87,63.63,2.963,102.79,1514.8,10.66,0,0
1,2023-07-14,2109.9,13.8,63.7,2.998,103.71,1511.7,10.58,0,0
1,2023-07-15,2122.3,12.42,62.63,2.999,102.39,1511.9,10.25,0,0
1,2023-07-16,2129.2,6.84,64.04,3.067,101.48,1509.4,10.42,0,0
1,2023-07-17,2136.8,7.62,62.03,3.119,101.5,1499.4,10.59,0,0
1,2023-07-18,2151.8,14.99,64.03,3.046,,1512.7,10.44,0,0
1,2023-07-19,2163.8,12.06,63.46,3.022,102.1,1504.0,9.9,0,0
1,2023-07-20,2169.9,6.09,64.12,2.985,102.31,1516.1,10.95,0,0
1,2023-07-21,2176.9,7.01,,2.448,102.93,1520.8,10.58,0,0
1,2023-07-22,2189.6,12.64,61.63,2.908,99.42,1495.4,9.94,0,0
1,2023-07-23,2195.6,6.05,63.39,2.809,104.32,1520.9,11.26,0,0
1,2023-07-24,2203.2,7.61,62.7,3.132,101.59,1506.6,11.0,0,0
1,2023-07-25,2214.7,11.49,61.96,3.044,102.56,1508.8,10.52,0,0
1,2023-07-26,2227.6,12.92,64.51,2.882,100.62,1502.6,10.37,0,0
1,2023-07-27,2240.1,12.52,65.35,2.897,101.9,1511.4,10.75,0,0
1,2023-07-28,2248.4,8.24,62.95,,103.56,1510.4,10.68,0,0
1,2023-07-29,2261.5,13.12,63.67,2.889,100.4,1518.5,10.79,0,0
1,2023-07-30,2269.9,8.37,63.44,2.734,103.45,1503.9,10.37,0,0
1,2023-07-31,2279.1,9.25,63.09,2.702,102.05,1523.2,10.95,0,0
1,2023-08-01,2292.6,13.46,64.41,2.955,102.81,1515.2,10.48,0,0
1,2023-08-02,2305.1,12.5,64.76,3.112,102.98,1510.6,10.83,0,0
1,2023-08-03,2319.6,14.49,62.88,2.87,102.76,1508.4,10.38,0,0
1,2023-08-04,2332.2,12.58,63.79,2.996,101.45,1507.4,11.42,0,0
1,2023-08-05,2343.9,11.68,65.03,3.061,101.96,1507.9,10.83,0,0
1,2023-08-06,2350.8,6.94,64.43,2.802,100.86,1511.2,11.49,0,0
1,2023-08-07,2360.5,9.68,64.58,2.948,102.81,1508.2,10.87,0,0
1,2023-08-08,2369.1,8.65,65.11,2.851,104.02,1504.7,10.46,0,0
1,2023-08-09,2377.6,8.44,65.1,3.192,100.5,1511.3,10.87,0,0
1,2023-08-10,2393.3,15.73,64.77,3.185,101.56,1503.2,10.89,0,0
1,2023-08-11,2403.2,9.93,63.89,2.802,102.14,1512.4,10.74,0,0
1,2023-08-12,2418.1,14.92,63.36,3.009,102.49,1508.1,10.81,0,0
1,2023-08-13,2430.4,12.31,63.85,3.111,103.2,1515.4,10.85,0,0
1,2023-08-14,2444.4,13.95,63.21,3.078,102.17,1517.8,10.33,0,0
1,2023-08-15,2455.4,11.03,61.79,2.963,102.0,1517.8,10.3,0,0
1,2023-08-16,2467.2,11.77,63.47,3.147,103.42,1512.4,10.39,0,0
1,2023-08-17,2478.1,10.93,64.1,2.815,102.98,1513.3,10.66,0,0
1,2023-08-18,2486.1,7.95,63.16,2.905,102.86,1507.3,10.56,0,0
1,2023-08-19,2499.3,13.22,63.55,2.819,102.43,1515.3,10.33,0,0
1,2023-08-20,2508.1,8.81,63.59,3.068,103.3,1516.2,10.86,0,0
1,2023-08-21,2514.3,6.24,65.1,2.863,101.66,1497.3,10.71,0,0
1,2023-08-22,2526.8,12.45,63.39,2.925,101.53,1512.9,10.67,0,0
1,2023-08-23,2534.6,7.77,65.1,3.043,103.07,1520.8,10.55,0,0
1,2023-08-24,2550.0,15.4,61.03,3.055,100.69,1507.0,10.51,0,0
1,2023-08-25,2565.5,15.54,65.09,2.815,102.41,1505.3,10.37,0,0
1,2023-08-26,2580.7,15.15,,3.109,102.0,1506.5,10.9,0,0
1,2023-08-27,2590.4,9.7,64.65,3.019,100.91,1497.8,10.41,0,0
1,2023-08-28,2596.5,6.15,61.73,2.788,101.39,1510.9,10.69,0,0
1,2023-08-29,2611.8,15.28,64.76,2.752,102.21,1510.1,11.12,0,0
1,2023-08-30,2622.1,10.28,63.7,2.948,103.35,1511.4,10.52,0,0
1,2023-08-31,2637.8,15.67,61.22,3.078,101.67,1513.2,10.91,0,0
1,2023-09-01,2653.4,15.64,65.04,3.082,103.53,1503.5,10.79,0,0
1,2023-09-02,2667.9,14.53,65.19,3.004,102.38,1512.1,10.72,0,0
1,2023-09-03,2676.9,8.94,61.84,2.958,103.63,1513.4,10.75,0,0
1,2023-09-04,2686.7,9.85,63.92,3.027,101.72,1506.0,10.6,0,0
1,2023-09-05,2701.2,14.51,65.13,2.822,102.27,1513.2,10.63,0,0
1,2023-09-06,2710.4,9.17,64.98,3.204,102.69,1510.5,10.46,0,0
1,2023-09-07,2718.1,7.69,64.58,3.202,102.14,1504.8,10.64,0,0
1,2023-09-08,2729.7,11.57,61.1,3.015,103.27,1512.1,10.45,0,0
1,2023-09-09,2745.0,15.36,64.47,2.98,100.11,1507.5,10.93,0,0
1,2023-09-10,2758.0,12.96,63.53,2.889,104.74,1515.4,10.11,0,0
1,2023-09-11,2769.7,11.7,64.74,3.03,103.18,1508.0,10.77,0,0
1,2023-09-12,2776.7,6.97,64.0,2.847,102.15,1499.5,10.73,0,0
1,2023-09-13,2788.8,12.15,63.73,2.617,101.77,1512.0,10.7,0,0
1,2023-09-14,2804.7,15.9,64.39,2.544,101.45,1511.7,10.93,0,0
1,2023-09-15,2812.1,7.4,63.57,2.831,102.97,1501.2,10.54,0,0
1,2023-09-16,2823.3,11.18,63.72,2.974,103.31,1515.9,10.7,0,0
1,2023-09-17,2838.1,14.77,63.19,3.001,102.16,1515.5,10.11,0,0
1,2023-09-18,2851.5,13.41,62.14,2.878,103.43,1502.9,10.5,0,0
1,2023-09-19,2864.4,12.97,64.31,2.972,101.41,1504.6,10.88,0,0
1,2023-09-20,2877.5,13.02,62.94,2.91,,1508.7,10.22,0,0
1,2023-09-21,2887.1,9.59,63.54,2.801,104.13,1503.8,10.67,0,0
1,2023-09-22,2896.0,8.94,64.03,2.943,102.91,1515.0,10.42,0,0
1,2023-09-23,2910.1,14.09,61.66,3.073,103.72,1511.1,10.59,0,0
1,2023-09-24,2924.2,14.1,61.88,2.808,101.47,1501.1,10.44,0,0
1,2023-09-25,2938.9,14.67,63.45,2.808,101.4,1503.3,10.25,0,0
1,2023-09-26,2954.0,15.13,64.2,2.79,101.96,1519.4,10.74,0,0
1,2023-09-27,2965.1,11.11,64.49,2.66,101.5,1522.2,10.61,0,0
1,2023-09-28,2976.1,11.02,62.15,2.879,103.03,1514.2,10.81,0,0
1,2023-09-29,2990.1,13.98,64.38,3.058,101.57,1508.2,10.86,0,0
1,2023-09-30,3002.6,12.5,63.5,2.977,101.15,1506.3,10.99,0,0
1,2023-10-01,3015.6,13.02,62.86,2.925,102.46,1514.3,10.66,0,0
1,2023-10-02,3029.6,13.96,63.1,2.97,101.03,1510.5,11.0,0,0
1,2023-10-03,3044.5,14.9,64.55,2.877,100.52,1497.0,10.33,0,0
1,2023-10-04,3053.9,9.38,64.02,2.659,102.45,1518.1,10.9,0,0
1,2023-10-05,3063.6,9.76,63.8,3.068,100.57,1520.6,10.76,0,0
1,2023-10-06,3070.6,6.94,63.99,3.111,103.1,1515.8,10.69,0,0
1,2023-10-07,3082.3,11.78,64.67,2.841,100.92,1501.1,10.76,0,0
1,2023-10-08,3088.7,6.36,63.65,2.928,100.08,1504.8,10.34,0,0
1,2023-10-09,3099.4,10.66,63.8,2.915,102.03,1495.0,10.27,0,0
1,2023-10-10,3110.8,11.43,64.88,3.003,102.46,1522.6,11.14,0,0
1,2023-10-11,3119.6,8.87,63.41,3.204,102.81,1507.0,10.57,0,0
1,2023-10-12,3131.6,11.91,64.36,3.125,102.49,1528.5,10.57,0,0
1,2023-10-13,3137.9,6.31,63.24,2.894,101.26,1525.5,10.29,0,0
1,2023-10-14,3144.2,6.37,63.33,3.032,103.03,1502.6,10.18,0,0
1,2023-10-15,3158.5,14.23,63.64,3.139,103.28,1504.2,10.6,0,0
1,2023-10-16,3168.1,9.6,64.26,3.012,101.11,1513.6,10.52,0,0
1,2023-10-17,3175.3,7.27,64.94,2.95,102.14,1495.8,10.62,0,0
1,2023-10-18,3186.6,11.22,63.84,3.018,102.05,1506.4,10.65,0,0
1,2023-10-19,3200.3,13.7,62.25,2.845,102.54,1505.6,11.37,0,0
1,2023-10-20,3208.4,8.16,64.38,2.867,102.12,1524.7,10.52,0,0
1,2023-10-21,3220.6,12.23,66.2,2.791,102.25,1511.2,11.1,0,0
1,2023-10-22,3227.5,6.85,63.85,2.997,102.96,1507.6,11.12,0,0
1,2023-10-23,3234.0,6.52,62.04,2.931,101.21,1504.8,10.85,0,0
1,2023-10-24,3245.3,11.31,63.92,2.827,103.06,1517.0,10.55,0,0
1,2023-10-25,3256.7,11.41,63.74,2.926,103.46,1505.9,10.22,0,0
1,2023-10-26,3269.1,12.37,63.66,3.021,103.95,1509.5,10.77,0,0
1,2023-10-27,3282.4,13.26,64.69,,100.18,1504.8,10.93,0,0
1,2023-10-28,3298.1,15.76,65.12,3.103,102.14,1497.7,11.15,0,0
1,2023-10-29,3309.3,11.16,64.43,2.608,100.35,1501.9,10.34,0,0
1,2023-10-30,3318.5,9.23,63.61,2.987,99.88,1505.9,10.55,0,0
1,2023-10-31,3332.5,13.95,64.87,3.165,102.46,1507.8,10.34,0,0
1,2023-11-01,3341.2,8.71,62.25,2.75,101.92,1508.1,10.43,0,0
1,2023-11-02,3351.6,10.39,63.03,3.033,102.62,1509.2,10.82,0,0
1,2023-11-03,3358.4,6.78,63.14,2.915,102.81,1506.0,10.42,0,0
1,2023-11-04,3364.6,6.25,63.71,3.123,103.57,1520.7,10.38,0,0
1,2023-11-05,3380.2,15.63,64.25,3.011,102.37,1517.4,10.86,0,0
1,2023-11-06,3394.6,14.36,63.54,2.818,105.24,1508.8,10.76,0,0
1,2023-11-07,3407.6,12.96,62.84,2.921,102.63,1511.9,10.73,0,0
1,2023-11-08,3417.6,10.09,64.72,2.929,104.16,1506.9,10.43,0,0
1,2023-11-09,3425.4,7.73,63.51,2.932,99.99,1487.1,11.01,0,0
1,2023-11-10,3432.9,7.56,63.85,3.119,103.67,1510.0,10.63,0,0
1,2023-11-11,3441.4,8.5,64.3,2.824,102.14,1512.3,11.34,0,0
1,2023-11-12,3452.9,11.49,63.78,3.101,100.37,1497.0,10.67,0,0
1,2023-11-13,3466.1,13.15,63.79,2.905,102.74,1513.9,9.92,0,0
1,2023-11-14,3478.7,12.6,64.78,2.984,102.02,1507.6,9.91,0,0
1,2023-11-15,3487.5,8.8,63.9,2.962,102.9,1512.6,10.81,0,0
1,2023-11-16,3503.0,15.55,64.61,2.947,103.33,1507.9,11.01,0,0
1,2023-11-17,3516.4,13.38,64.29,2.949,100.83,1519.9,10.39,0,0
1,2023-11-18,3528.0,11.54,65.76,3.169,103.33,1511.7,11.25,0,0
1,2023-11-19,3540.1,12.12,64.15,3.077,102.33,1517.9,11.12,0,0
1,2023-11-20,3550.3,10.2,64.38,2.896,103.67,1518.5,10.69,0,0
1,2023-11-21,3558.7,8.48,64.85,3.188,102.11,1500.9,10.79,0,0
