transaction_id,amount,hour_of_day,day_of_week,merchant_category,is_foreign_transaction,distance_from_home_km,transactions_last_24h,card_present,account_age_days,is_fraud
18620,61.74,19,6,online_retail,0,8.0,,1,3338,0
48493,87.82,17,0,travel,0,21.2,3.0,1,2680,0
26804,171.57,12,1,grocery,0,9.0,3.0,1,2645,0
44306,108.74,11,6,electronics,0,10.5,2.0,1,2446,0
47523,37.0,22,6,online_retail,0,19.4,2.0,0,481,0
32208,29.15,11,2,restaurant,0,24.5,0.0,1,1808,0
2531,41.49,14,3,gas_station,0,8.2,1.0,0,1931,0
17747,147.57,0,2,online_retail,0,7.9,5.0,0,3346,0
8271,108.58,10,5,online_retail,0,31.6,1.0,0,1397,0
15080,5.22,6,2,electronics,1,17.6,1.0,1,244,0
13625,24.55,17,0,online_retail,0,27.1,1.0,0,3110,0
30639,35.04,9,4,electronics,0,4.7,1.0,0,510,0
30441,6.35,16,2,restaurant,0,16.2,0.0,0,3379,0
36057,96.18,12,4,grocery,0,24.9,2.0,1,2329,0
42652,23.49,23,6,electronics,0,13.9,2.0,1,1841,0
36804,47.69,12,5,online_retail,0,13.8,3.0,1,317,0
48225,61.11,19,0,gas_station,0,21.3,1.0,1,855,0
29227,115.28,8,6,travel,0,0.9,1.0,0,3479,0
5634,15.38,20,3,restaurant,0,13.5,2.0,1,110,0
5988,60.34,14,0,grocery,0,5.3,3.0,1,3277,0
48064,92.72,9,6,grocery,0,15.8,1.0,1,190,0
1813,29.66,16,6,gas_station,0,7.1,1.0,1,1133,0
27579,61.73,18,1,gas_station,0,23.5,1.0,1,1256,0
16824,53.93,11,5,online_retail,0,17.0,1.0,1,3328,0
3929,28.7,11,6,restaurant,0,16.0,2.0,1,1839,0
37287,78.86,20,6,online_retail,0,25.4,0.0,1,2847,0
25046,4.49,20,5,grocery,0,24.8,2.0,1,2094,0
15728,46.66,7,1,online_retail,0,25.5,1.0,0,2899,0
29601,59.69,10,2,gas_station,0,6.4,1.0,1,609,0
10431,160.35,16,6,grocery,0,0.4,2.0,1,2392,0
25769,95.85,14,4,utilities,0,37.2,2.0,0,3489,0
29104,40.03,11,1,online_retail,0,4.0,5.0,1,153,0
36538,62.14,11,6,online_retail,0,18.4,0.0,0,2655,0
39329,10.74,11,3,grocery,0,17.4,0.0,0,2170,0
35540,11.09,7,6,gas_station,1,47.0,0.0,0,1209,0
28076,201.04,12,4,utilities,0,14.4,2.0,0,1082,0
17841,18.85,17,2,restaurant,0,9.9,0.0,1,342,0
27803,85.03,8,5,grocery,0,24.1,1.0,1,2487,0
7683,51.51,16,3,electronics,0,41.7,0.0,1,2462,0
24280,68.43,18,6,online_retail,0,19.4,1.0,1,1653,0
33071,76.01,15,2,electronics,0,33.6,0.0,1,3249,0
35558,122.71,11,5,online_retail,0,14.4,3.0,0,2026,0
37190,78.87,23,1,grocery,0,16.3,2.0,1,2457,0
47150,95.3,8,2,restaurant,0,34.9,2.0,1,3545,0
46916,49.33,19,6,restaurant,0,36.2,1.0,1,1452,0
9802,34.95,12,1,grocery,0,28.0,6.0,1,866,0
38801,72.92,8,5,restaurant,0,18.8,5.0,1,3389,0
24670,52.81,19,5,electronics,1,2.7,2.0,1,809,0
44234,79.59,16,1,electronics,0,2.9,4.0,0,2888,0
31920,28.44,9,4,gas_station,0,26.0,2.0,1,303,0
7135,107.51,7,2,restaurant,0,20.1,1.0,1,2783,0
33705,39.63,9,4,grocery,0,3.8,4.0,1,3491,0
29661,91.62,18,3,utilities,0,71.5,2.0,1,2792,0
17894,84.32,10,3,restaurant,0,15.9,1.0,1,250,0
22019,27.96,14,3,restaurant,0,24.9,3.0,1,123,0
13539,125.14,15,2,entertainment,0,44.4,3.0,0,3543,0
43119,43.52,10,6,entertainment,0,23.4,0.0,1,783,0
36421,41.99,12,4,restaurant,0,11.5,2.0,0,2537,0
9406,91.1,6,2,grocery,0,14.5,3.0,0,655,0
13414,27.72,11,0,grocery,0,39.3,3.0,1,2405,0
6721,167.06,12,1,grocery,0,16.9,2.0,0,1355,0
15602,25.31,19,3,restaurant,0,0.7,3.0,0,1568,0
44744,67.85,8,0,restaurant,0,34.1,2.0,0,888,0
31139,78.53,13,6,online_retail,0,21.6,3.0,0,2806,0
2730,66.83,11,2,grocery,0,24.9,1.0,1,503,0
38243,26.7,17,4,online_retail,0,31.0,5.0,0,1599,0
29626,106.53,18,5,grocery,0,36.0,5.0,1,1853,0
47895,60.09,11,2,grocery,0,0.7,3.0,1,2037,0
42091,51.54,9,4,travel,0,35.2,2.0,0,194,0
36400,282.25,11,5,grocery,0,32.7,2.0,0,493,0
6245,30.54,18,2,gas_station,0,11.3,1.0,0,1256,0
5546,215.6,15,0,restaurant,0,36.0,3.0,1,984,0
4065,43.82,18,5,restaurant,0,24.4,2.0,0,1508,0
12852,44.5,18,1,grocery,0,0.0,3.0,1,3383,0
21803,68.97,12,3,gas_station,0,8.0,1.0,0,763,0
41164,77.63,9,3,electronics,0,23.3,3.0,1,587,0
6233,61.11,19,3,travel,0,29.2,2.0,1,2423,0
3863,101.88,14,1,grocery,0,42.3,2.0,1,3163,0
35095,144.59,21,1,entertainment,0,29.3,0.0,1,2724,0
40196,121.1,21,4,restaurant,0,7.9,1.0,0,1073,0
39251,103.76,7,2,grocery,0,34.8,2.0,1,872,0
6218,143.27,20,2,entertainment,0,19.2,1.0,1,2888,0
36776,158.53,11,4,grocery,0,20.4,1.0,1,1822,0
42977,102.34,19,5,electronics,0,6.2,0.0,1,2546,0
48468,65.34,12,6,restaurant,0,19.1,2.0,0,1213,0
14832,67.31,22,4,restaurant,0,22.0,2.0,1,1598,0
30093,98.57,17,6,utilities,0,32.9,3.0,1,3158,0
8894,21.72,21,6,online_retail,0,2.5,1.0,0,3082,0
6021,244.01,8,3,online_retail,0,69.0,2.0,1,581,0
46089,27.56,7,3,online_retail,0,25.3,4.0,1,222,0
15243,14.94,12,1,grocery,0,10.0,0.0,1,108,0
45308,46.6,13,1,online_retail,0,47.2,1.0,1,582,0
26551,22.25,21,1,entertainment,0,22.7,0.0,1,1959,0
6035,63.21,10,4,online_retail,0,39.4,3.0,0,3538,0
7906,33.03,9,4,grocery,0,11.3,0.0,1,2861,0
32226,143.38,13,5,electronics,0,15.7,3.0,1,2281,0
6018,128.18,17,1,entertainment,0,4.2,1.0,0,403,0
21880,84.76,15,4,entertainment,0,24.2,2.0,1,820,0
2792,111.85,3,5,online_retail,0,7.3,3.0,1,1933,0
42606,181.34,11,3,online_retail,0,18.7,4.0,1,2398,0
5824,143.48,12,5,grocery,0,66.2,1.0,1,3446,0
15388,62.99,11,3,grocery,0,29.0,3.0,1,2784,0
29562,62.67,18,3,grocery,0,29.3,0.0,1,2705,0
39476,68.82,9,0,entertainment,0,44.0,1.0,1,3473,0
293,17.39,15,3,travel,0,32.4,2.0,1,1201,0
16958,313.09,8,2,grocery,0,8.4,2.0,1,2165,0
30861,65.26,14,2,entertainment,0,0.2,5.0,1,2880,0
14074,49.29,14,4,grocery,0,35.0,0.0,1,638,0
21857,49.65,19,0,entertainment,0,8.4,2.0,1,2520,0
22080,232.48,12,4,restaurant,0,41.0,2.0,1,2640,0
17024,74.82,8,3,online_retail,0,4.1,3.0,1,1467,0
8740,80.98,19,4,entertainment,0,21.8,3.0,0,1253,0
15826,41.08,16,2,grocery,0,1.0,3.0,0,2680,0
2742,64.04,21,3,gas_station,0,18.7,1.0,1,2338,0
18049,33.4,10,4,online_retail,0,11.9,3.0,1,853,0
49937,499.11,4,6,electronics,0,54.8,5.0,0,1292,1
17373,63.73,9,0,electronics,0,25.4,2.0,0,2630,0
22022,14.7,20,5,online_retail,0,4.0,1.0,0,2258,0
46365,164.66,20,4,online_retail,0,6.6,1.0,0,54,0
23538,66.1,8,5,grocery,0,7.5,1.0,0,1590,0
45500,46.02,7,5,grocery,0,4.8,0.0,1,781,0
40186,124.94,11,0,entertainment,0,1.6,1.0,0,347,0
9614,82.1,16,4,utilities,0,52.4,2.0,1,1305,0
43282,58.68,12,6,restaurant,0,51.7,1.0,1,494,0
37892,64.55,18,1,grocery,0,3.2,3.0,1,56,0
26179,128.76,12,1,gas_station,0,30.1,2.0,1,59,0
45893,202.81,10,3,restaurant,0,39.6,2.0,1,2309,0
20934,90.66,11,6,restaurant,1,25.6,1.0,0,2676,0
40972,138.11,18,3,grocery,0,8.3,1.0,1,1102,0
22225,32.15,15,6,gas_station,0,12.5,1.0,1,1121,0
24382,149.02,17,2,gas_station,0,0.8,2.0,1,1531,0
34856,87.52,8,0,grocery,1,11.9,3.0,1,1640,0
48578,17.2,7,0,online_retail,0,7.3,3.0,0,747,0
38537,58.58,16,0,restaurant,0,27.2,4.0,0,618,0
31756,60.07,9,5,travel,0,33.3,2.0,1,211,0
7754,111.39,17,2,grocery,0,9.6,0.0,0,3132,0
46639,38.47,10,3,travel,0,6.8,4.0,1,2643,0
43835,45.8,8,2,restaurant,1,49.6,1.0,1,2026,0
26236,32.3,18,4,grocery,0,15.9,2.0,1,1573,0
44230,28.39,14,6,grocery,0,8.6,1.0,0,535,0
49597,741.74,2,4,electronics,0,200.7,6.0,0,289,1
18553,144.16,18,6,grocery,0,2.2,1.0,1,2115,0
43137,136.84,22,1,online_retail,0,6.1,2.0,0,1576,0
36673,87.9,8,1,online_retail,0,14.5,4.0,1,1068,0
43650,59.28,13,5,grocery,0,19.9,1.0,0,493,0
3941,97.03,21,2,restaurant,0,17.3,7.0,0,435,0
31497,126.11,7,2,online_retail,0,22.1,3.0,0,1312,0
26594,19.5,21,0,grocery,0,16.5,4.0,1,58,0
23922,74.48,13,4,grocery,0,28.9,0.0,1,1051,0
26403,90.04,19,0,restaurant,0,2.6,3.0,1,1497,0
45943,22.01,10,3,electronics,0,45.1,1.0,1,2138,0
48526,56.9,18,2,online_retail,0,14.2,0.0,1,204,0
18316,130.19,14,4,restaurant,0,16.0,4.0,1,2868,0
36894,42.88,11,0,gas_station,0,25.9,1.0,1,3145,0
26696,36.25,10,2,gas_station,0,14.0,3.0,1,76,0
42128,43.27,16,4,electronics,0,9.2,0.0,1,958,0
14171,1.99,8,6,entertainment,0,7.0,2.0,0,3152,0
3733,29.48,8,5,electronics,0,27.5,0.0,1,2444,0
7882,80.74,20,3,gas_station,0,1.4,3.0,1,3363,0
6017,54.96,7,4,electronics,0,14.8,4.0,1,1323,0
23030,38.98,8,2,restaurant,0,17.9,0.0,0,1179,0
35474,48.11,17,1,gas_station,0,4.0,3.0,1,2090,0
49686,538.47,13,4,travel,1,38.5,6.0,0,953,1
4818,123.59,12,2,online_retail,0,7.0,4.0,1,1051,0
41694,91.24,13,2,gas_station,0,46.5,3.0,1,1447,0
12008,106.74,13,3,grocery,0,46.0,1.0,1,3139,0
41328,37.58,12,1,travel,0,41.0,2.0,0,1046,0
9507,43.57,10,6,online_retail,0,46.2,2.0,1,3320,0
44799,79.8,18,0,electronics,0,10.3,2.0,1,2273,0
34063,44.21,16,0,utilities,0,29.8,3.0,1,3308,0
27475,72.66,13,4,electronics,0,38.4,2.0,0,2678,0
31144,211.97,19,3,utilities,0,16.3,1.0,0,1834,0
21236,20.89,12,4,utilities,1,4.4,2.0,0,2973,0
1391,116.38,18,3,travel,0,27.2,3.0,1,2664,0
38250,63.06,15,5,entertainment,0,3.9,1.0,1,1992,0
37625,93.01,9,2,grocery,0,47.0,1.0,1,2194,0
42029,113.06,11,3,utilities,0,14.9,,0,441,0
20835,62.95,8,2,online_retail,0,72.4,2.0,0,2675,0
14758,66.63,5,2,grocery,0,1.4,4.0,0,3323,0
26397,35.67,21,6,online_retail,0,13.3,1.0,0,3332,0
6809,151.85,9,2,grocery,0,13.2,2.0,0,1610,0
9226,42.14,8,4,utilities,0,17.7,1.0,1,888,0
48395,137.87,19,2,electronics,0,16.8,2.0,1,1934,0
5396,89.48,21,0,restaurant,0,16.8,1.0,0,3316,0
6944,57.19,13,2,online_retail,0,1.4,3.0,1,859,0
23871,241.54,8,2,online_retail,0,2.3,2.0,1,1670,0
32493,178.85,6,5,travel,0,37.2,2.0,0,680,0
36346,9.87,0,5,online_retail,0,13.2,1.0,1,3019,0
10756,95.99,19,5,utilities,0,3.8,6.0,0,3411,0
12302,94.77,10,0,online_retail,0,18.1,4.0,1,3333,0
48387,31.06,13,6,electronics,0,22.5,2.0,0,3537,0
42746,106.11,10,2,restaurant,0,8.7,1.0,0,263,0
29090,45.92,14,3,grocery,0,29.2,4.0,0,130,0
44713,62.91,13,3,entertainment,0,3.7,1.0,0,2857,0
14344,293.38,7,5,grocery,0,2.5,3.0,1,406,0
38173,134.62,12,3,travel,0,12.3,1.0,0,2733,0
5072,80.27,14,1,online_retail,0,7.1,1.0,0,3446,0
24122,69.29,16,3,restaurant,0,22.6,3.0,0,272,0
48810,81.79,12,2,online_retail,0,9.5,1.0,1,3353,0
17821,23.95,9,5,grocery,0,8.4,1.0,1,3346,0
1123,34.53,13,5,restaurant,0,40.6,3.0,0,116,0
11265,201.37,18,3,travel,0,19.2,1.0,1,940,0
30580,236.48,14,0,online_retail,0,28.7,1.0,1,2909,0
45465,85.84,7,0,grocery,0,22.1,1.0,1,793,0
48217,11.18,19,6,restaurant,0,41.2,1.0,1,3583,0
43045,71.59,17,3,grocery,0,4.4,2.0,1,2484,0
15657,496.74,17,5,electronics,0,13.1,1.0,1,2557,0
1901,123.92,12,6,entertainment,0,12.5,4.0,1,2487,0
148,45.03,6,4,gas_station,0,24.3,1.0,1,3474,0
29643,152.39,15,5,travel,0,36.0,2.0,1,2016,0
3212,55.45,5,5,travel,0,34.8,2.0,0,1061,0
43851,20.34,17,2,grocery,0,8.6,2.0,1,1951,0
2355,52.71,0,4,online_retail,0,29.0,,1,563,0
31521,76.46,7,0,online_retail,0,3.9,5.0,0,1522,0
42584,55.04,17,4,entertainment,0,40.9,1.0,1,2579,0
43338,86.01,16,4,online_retail,0,14.9,3.0,1,179,0
45285,61.7,5,2,gas_station,0,1.8,2.0,1,3058,0
46957,34.65,17,2,restaurant,0,21.6,3.0,0,1010,0
48791,30.97,21,1,online_retail,0,24.7,0.0,0,1384,0
36586,111.43,18,2,restaurant,0,3.8,3.0,1,1657,0
10466,277.17,10,6,restaurant,0,4.4,1.0,1,755,0
7822,17.72,14,4,online_retail,0,16.5,4.0,1,727,0
7206,106.57,11,1,grocery,0,13.4,2.0,1,1636,0
6414,8.09,10,5,gas_station,0,36.9,3.0,1,2254,0
34047,14.08,18,5,gas_station,0,2.2,1.0,1,1698,0
12729,56.61,4,3,gas_station,0,19.5,5.0,1,3575,0
6926,162.33,13,6,entertainment,0,13.6,1.0,1,3337,0
27996,43.87,14,0,online_retail,0,28.9,1.0,1,1925,0
37613,74.3,13,4,restaurant,0,18.6,4.0,0,2704,0
39484,40.11,0,3,online_retail,0,23.5,1.0,1,886,0
3017,17.21,19,4,entertainment,0,47.7,1.0,1,2207,0
1641,203.73,16,0,online_retail,0,23.7,2.0,1,1684,0
8884,23.62,15,0,grocery,0,34.9,3.0,1,2149,0
37602,15.4,14,3,grocery,0,16.5,1.0,1,3069,0
12970,56.77,12,0,restaurant,0,23.3,2.0,1,3207,0
23464,21.23,22,6,grocery,0,9.5,2.0,1,2261,0
15758,58.23,9,5,grocery,0,2.2,0.0,1,1988,0
44077,48.66,15,3,restaurant,0,37.0,1.0,1,1114,0
4087,148.05,11,6,restaurant,0,22.2,1.0,1,1281,0
509,141.87,8,4,gas_station,0,9.4,3.0,1,3144,0
6355,46.92,4,4,grocery,0,9.9,0.0,0,62,0
29645,62.68,12,3,travel,0,20.3,3.0,1,3014,0
20816,162.52,8,6,gas_station,0,13.9,3.0,0,3486,0
6235,92.8,13,2,grocery,0,6.9,3.0,0,924,0
31990,155.1,20,4,entertainment,0,8.4,2.0,0,1635,0
12996,35.89,11,6,restaurant,0,22.9,1.0,1,3230,0
42502,131.81,11,1,online_retail,0,55.2,0.0,1,2858,0
38921,241.09,13,6,restaurant,0,34.8,0.0,0,2642,0
263,129.15,6,5,online_retail,1,29.5,2.0,0,1381,0
7892,110.28,14,2,online_retail,0,17.8,2.0,1,647,0
10528,106.1,18,3,grocery,0,6.0,2.0,0,2666,0
18601,96.93,9,3,restaurant,0,4.0,0.0,1,210,0
24115,10.93,18,3,gas_station,0,5.8,0.0,1,2579,0
33499,56.57,16,4,grocery,0,37.5,2.0,0,830,0
13472,40.01,12,5,online_retail,0,36.4,4.0,1,857,0
31726,144.96,17,1,online_retail,0,25.2,1.0,0,3521,0
23691,70.72,0,4,online_retail,0,30.7,2.0,1,3271,0
10558,110.98,20,6,grocery,0,13.1,1.0,1,3100,0
6557,103.72,14,1,gas_station,0,27.6,1.0,1,455,0
45578,47.95,21,1,grocery,0,10.5,3.0,1,1318,0
41504,136.33,12,2,online_retail,0,13.5,4.0,1,2446,0
27873,165.81,17,6,grocery,0,6.9,1.0,0,1567,0
10811,93.19,0,2,grocery,0,27.9,2.0,1,1820,0
38215,9.7,15,5,online_retail,0,33.2,0.0,1,990,0
11731,76.86,11,3,travel,1,25.1,2.0,1,381,0
27439,108.32,16,5,grocery,0,42.5,2.0,1,1691,0
21780,75.98,8,0,online_retail,0,42.1,1.0,1,2950,0
34080,28.09,7,3,restaurant,0,2.0,0.0,1,3408,0
22916,75.57,18,5,entertainment,0,9.3,2.0,1,467,0
8086,122.88,10,5,restaurant,0,12.5,1.0,1,34,0
43468,73.27,11,0,grocery,0,33.9,3.0,1,362,0
14710,92.47,13,0,grocery,0,28.4,3.0,0,1827,0
15467,49.19,19,6,grocery,0,10.8,2.0,1,955,0
37173,161.82,15,3,travel,0,30.9,2.0,1,2801,0
28749,95.93,15,2,entertainment,0,25.2,5.0,1,832,0
3105,135.97,10,6,gas_station,0,6.6,0.0,1,2106,0
709,87.91,11,6,restaurant,0,32.5,1.0,0,2449,0
38386,54.99,17,4,electronics,0,7.5,1.0,1,2729,0
23445,89.52,21,3,grocery,0,11.1,1.0,1,2097,0
26511,90.17,17,0,utilities,0,1.7,1.0,1,3500,0
8467,54.63,11,4,online_retail,0,14.7,0.0,0,2100,0
6231,70.46,10,0,grocery,1,54.7,2.0,1,2758,0
46359,76.81,12,4,grocery,0,25.1,0.0,0,3308,0
39358,111.12,13,1,online_retail,0,31.1,2.0,1,3546,0
16387,92.94,9,3,entertainment,0,10.2,4.0,1,1310,0
34166,199.84,16,1,travel,0,27.4,2.0,0,2213,0
4169,14.71,11,1,grocery,0,27.3,2.0,1,2014,0
5804,258.48,6,4,restaurant,0,35.8,0.0,1,1642,0
12754,119.41,18,0,entertainment,0,41.4,1.0,1,37,0
2190,114.77,17,6,gas_station,0,18.6,2.0,1,1946,0
12188,23.27,9,2,restaurant,0,32.1,0.0,1,2137,0
31728,106.15,9,0,entertainment,0,38.7,2.0,1,3268,0
19246,54.55,9,1,grocery,0,26.5,,1,993,0
37867,89.36,15,3,restaurant,0,38.4,1.0,0,310,0
43515,91.38,18,0,restaurant,0,9.5,1.0,0,1116,0
8719,28.13,19,3,electronics,0,10.5,0.0,1,1607,0
28825,48.5,11,6,restaurant,0,12.5,0.0,0,1893,0
24469,13.16,21,4,grocery,0,,3.0,1,354,0
48253,167.04,14,1,grocery,0,18.2,3.0,1,3644,0
7202,53.64,0,1,restaurant,0,47.6,0.0,1,1128,0
9283,48.44,10,4,restaurant,0,15.9,2.0,0,2323,0
26821,79.55,17,2,grocery,0,47.3,2.0,1,2885,0
27374,246.0,20,2,utilities,0,28.9,2.0,1,796,0
22493,73.77,20,4,gas_station,0,14.2,3.0,1,1799,0
45638,58.83,14,4,grocery,0,25.3,5.0,1,35,0
45880,128.8,17,1,restaurant,1,30.6,5.0,0,2922,0
29340,20.89,10,6,online_retail,0,2.1,1.0,1,2975,0
46548,15.55,12,6,grocery,0,53.6,4.0,1,2681,0
10804,101.96,16,0,restaurant,0,16.7,5.0,1,1219,0
20965,39.22,22,2,restaurant,0,66.7,1.0,1,1075,0
30033,39.42,9,3,grocery,0,4.8,0.0,1,2634,0
5223,81.7,9,3,utilities,0,47.3,4.0,0,844,0
660,133.59,15,4,restaurant,1,32.9,3.0,1,2197,0
33246,64.49,16,4,gas_station,0,9.1,2.0,0,1680,0
5866,76.56,16,0,travel,0,20.6,1.0,1,1961,0
48872,40.51,19,3,utilities,0,21.7,1.0,1,2246,0
22986,115.91,17,3,online_retail,0,3.6,3.0,1,2140,0
28881,90.1,22,0,travel,0,33.2,3.0,1,1431,0
47088,50.07,12,2,grocery,0,46.7,0.0,1,124,0
26528,27.02,16,3,grocery,0,15.0,2.0,0,713,0
9648,17.75,14,0,grocery,0,6.3,1.0,1,321,0
49546,160.57,1,6,online_retail,0,114.2,6.0,0,3322,1
32375,116.37,23,2,restaurant,0,18.0,2.0,1,2828,0
26159,38.07,9,6,electronics,0,17.7,3.0,1,128,0
11712,10.01,9,6,restaurant,0,0.0,0.0,0,1304,0
27239,13.22,8,5,grocery,0,47.8,0.0,1,2338,0
18354,135.45,8,5,online_retail,0,22.1,1.0,0,2130,0
49515,522.54,18,5,electronics,1,156.0,7.0,1,3528,1
21725,161.63,17,6,restaurant,0,2.3,1.0,0,1891,0
25925,7.93,13,4,grocery,0,23.9,1.0,1,2297,0
41390,165.11,19,6,travel,0,32.1,1.0,1,2119,0
4773,121.64,19,3,entertainment,0,29.3,1.0,0,1748,0
35205,173.38,18,4,grocery,0,35.9,1.0,1,2407,0
27879,44.05,20,4,electronics,0,14.9,4.0,1,3038,0
5875,8.81,20,2,utilities,0,19.4,1.0,0,3147,0
17805,67.14,17,6,entertainment,0,32.6,3.0,1,1375,0
34224,53.16,22,5,restaurant,0,17.7,0.0,1,254,0
7842,68.08,16,3,travel,0,0.6,1.0,1,3505,0
15923,68.38,14,6,online_retail,0,16.4,1.0,0,41,0
28367,45.45,10,0,gas_station,0,2.9,2.0,0,2676,0
12084,83.07,6,0,utilities,0,21.8,3.0,0,1641,0
20034,136.82,8,2,travel,0,14.1,4.0,1,2927,0
14488,73.8,19,2,online_retail,0,1.8,1.0,1,2001,0
20819,35.07,9,6,grocery,0,,1.0,1,3117,0
37518,37.83,9,4,online_retail,0,25.3,4.0,1,2669,0
44236,54.03,10,4,grocery,0,14.1,1.0,1,3286,0
48651,34.63,16,6,entertainment,0,25.2,0.0,0,560,0
36236,209.22,20,0,grocery,0,5.5,2.0,1,486,0
21070,15.17,16,4,restaurant,0,32.3,3.0,1,2580,0
9524,89.73,9,0,restaurant,0,10.6,2.0,1,849,0
32756,144.06,11,3,online_retail,0,31.1,3.0,1,3303,0
12054,25.84,18,3,restaurant,0,28.1,5.0,0,3200,0
23594,39.54,10,2,electronics,0,19.1,2.0,0,2978,0
8038,36.9,23,2,grocery,0,22.1,3.0,0,3061,0
46977,24.49,6,5,utilities,0,5.6,2.0,1,2995,0
16400,146.4,11,5,grocery,0,41.8,4.0,1,1161,0
45786,45.81,11,0,grocery,0,14.7,3.0,1,153,0
34616,22.49,19,5,online_retail,0,4.6,1.0,0,103,0
7625,71.55,14,4,online_retail,0,26.1,2.0,1,3647,0
13662,74.92,14,4,travel,0,16.4,2.0,0,2799,0
